Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,BEL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.8770187,0.929495019,0.748431564,0.714098574,0.907884497,0.609109971,0.593163268,1.123155,1.508942458,1.730819595,2.563399208,4.000423692,5.388086688,5.075813614,5.171760662,3.548350449,3.211727662,3.309798666,4.697528322,5.305488774,5.275989569,7.835704762,11.26480135,22.80635852,19.57913859,16.29450952,15.95620513,14.7717309,13.00149687,20.34187357,27.61696736,33.12926143,49.17367274,36.86546013,25.501843,22.31271302,19.72949193,20.34159915,22.098282,20.03170024,,,,,,,,
Benin,BEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044623314,0.318934767,0.39552186,1.836709394,1.179724635,2.018223249,1.888783375,1.752920607,0.483596522,,,0.381055978,0.2960128,0.329285738,0.889113443,1.59518674,2.282729018,4.196416302,1.729222562,1.082142499,0.823998159,9.144454657,6.977849855,5.7762964,9.022164987,5.022765316,3.737310642,3.990391109,,
Bulgaria,BGR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020309764,0.022686454,0.02211512,0.078812603,0.382904883,0.972054372,0.042561543,0.031028258,0.495648311,0.994327647,0.549587177,1.751488916,2.616388621,5.434061801,15.26860384,2.413423568,0.936282765,0.743288183,0.557488598,0.666787544,1.575095152,,,,,,0.247301154,0.301955735,,
Bahrain,BHR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.877385665,1.81384008,2.895837386,7.552129002,9.321002038,6.726918556,2.708184233,2.133420246,2.24109826,2.408437777,2.369857173,4.397909477,7.463592894,4.807731247,8.104032357,2.0327647,1.118333008,0.542558965,0.905386213,1.85805127,2.149892702,0.946969261,1.032773001,1.587085144,2.565719266,1.965497498,1.712706641,,
"Bahamas, The",BHS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031796871,0.014949988,0.038513481,0.040182503,0.023654381,0.023241692,0.009857955,,
Belize,BLZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580696787,1.324483655,3.286931005,3.117465858,6.798151745,3.907800055,5.787283897,2.336669352,1.211505963,1.42640438,1.404028154,2.555338542,2.392788533,1.461318052,0.465594952,1.575244411,0.296703894,0.458750981,0.682054813,0.369037173,0.23006846,3.144533314,0.548001517,0.680184839,0.306460662,,,
Bolivia,BOL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,1.465359316,2.264468163,2.396719498,2.183963052,1.850028806,3.936339078,7.862169108,11.27162504,3.471670251,1.981278987,1.005494504,1.256567094,2.886132326,5.90480657,8.028300202,14.96771277,10.25597058,13.65530227,24.61475449,20.01390842,26.49078619,14.34915554,11.51407613,7.723627947,12.62531211,16.98553171,19.16930526,25.23203595,46.19799285,33.60324192,42.46361029,41.11355814,31.53161657,33.73476412,29.91234707,26.22800819,23.30346097,31.24591877,31.13632404,40.12638023,55.44930474,93.05528991,,
Barbados,BRB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213246265,0.264950543,0.140281296,0.260614388,0.927399423,1.12989197,0.345210494,1.572152312,0.337207399,,,,,,,,,0.741733594,2.515834292,0.347064356,0.13683259,0.18525047,,,,,0.259003616,0.133995462,,
Brunei Darussalam,BRN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7043479,0.801378313,0.588106951,1.123446633,1.382950751,0.669369789,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,2.986268001,3.072800344,3.139995038,4.630832643,7.412228747,9.883275131,7.709373631,5.233999931,8.239967561,7.094550764,10.64799849,15.08771435,21.52987844,13.50213663,15.75745642,11.42868474,11.97283695,12.73693905,23.03023695,26.92362825,30.26789552,42.02070179,51.59758267,56.2622058,57.88133761,84.38638337,60.34819112,58.95774569,56.56340579,68.81278634,79.45638971,93.77517016,118.8025814,96.77010472,96.96078946,86.86124037,82.18666947,73.72551366,71.67677234,74.41721891,70.41879356,75.48237193,77.6193571,79.61841537,82.1554373,61.33226086,,
Central Europe and the Baltics,CEB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.349968886,3.665986624,2.358417864,4.750588694,4.784986841,4.26632058,4.400982923,7.878080024,4.03770515,3.600485412,4.445566109,7.195645975,10.40557899,12.81141221,16.393641,8.34159478,9.556515495,9.862559547,8.414678381,7.2831337,7.532520459,6.037089998,7.164157065,6.332747615,8.302816404,6.108732585,5.164953952,7.443311845,,
Switzerland,CHE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,64.59610512,66.74116342,,110.5873648,119.2689248,193.3659361,82.05944702,214.2018623,180.2786827,198.8343093,150.7020624,27.33750084,25.86465602,68.74050863,84.835355,90.44112683,122.0829536,183.2820905,226.7503629,156.1861962,227.1051805,204.6878127,158.6687535,123.912237,10.85720808,13.5427631,18.40215541,256.597225,249.0454327,139.0528257,146.1746257,115.6474691,86.2427215,99.05837179,101.0350269,137.6162315,121.710067,136.4119638,129.3267126,133.8709342,176.7372197,,
Channel Islands,CHI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173607595,0.53511781,0.959424018,0.705167072,0.115517145,0.146370377,0.03115345,0.008061038,0.000868462,,,,,,,,,,,,,,,
Chile,CHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,2.593269015,1.301076751,0.872596134,0.525633478,0.509605409,0.81342672,3.996601815,5.688418674,5.856362965,6.28738916,4.76240437,4.675111771,4.179628039,5.357813553,9.293815678,15.09399101,1.372484527,8.664056116,5.243015657,8.627292931,7.3657106,5.692499346,3.786601032,9.884828311,13.20312248,16.71961456,18.07862756,26.17124819,16.07024662,21.60517988,26.68073243,20.40667099,17.40123084,14.87053392,10.45887691,8.113336632,9.616232537,13.78325039,14.74761265,13.18960597,15.63487572,,
China,CHN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.986392813,12.08044608,10.55553406,35.62828876,38.58715897,27.63587204,,62.12857676,34.55123254,22.99863724,23.36965435,26.15883422,17.16418864,42.11268927,177.601867,84.99720029,153.4937437,135.6576681,88.3790629,58.92041484,80.41382039,114.1633973,355.5192004,162.8643052,139.9077403,94.06786084,127.7853252,215.0136667,,
