Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,BDI,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,6.40004,7.03187749,6.024488574,5.780688821,7.688807212,7.699821291,7.422710469,12.07658459,12.20483143,11.68874838,10.59539569,12.85931689,19.32741694,14.01352872,11.34290453,11.13214867,9.507379742,12.12200627,13.5380201,15.44404711,14.98309691,18.4150145,20.78884849,24.16056037,27.45928257,21.14426789,22.77798882,29.92220079,23.82879037,27.4861479,36.92537735,34.14043888,60.06171811,114.0517123,47.44173449,39.97303725,45.02443629,33.69604491,30.80389187,28.33301266,,,,,,,,
Benin,BEN,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.188967895,10.55985881,7.790387391,11.55508832,20.54463219,49.70584467,62.01307642,42.67578392,26.68915466,,,,6.229827161,6.142102844,8.105570289,12.47061915,11.17730338,11.6241082,4.663435971,,2.415860496,23.09364981,20.78692693,21.75655382,30.75356744,20.85801376,20.37811424,16.61975239,,
Bulgaria,BGR,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.33333333,4.554865424,7.223942208,173.0357143,,101.2402993,5.659088692,3.183825238,85.52311436,22.60129705,6.62119969,16.3394497,15.36646466,18.09458042,31.31057991,14.80616908,5.629035371,5.114311124,3.899918214,,,,,,,,1.0651,1.200361368,,
Bahrain,BHR,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.750405923,6.121380789,8.51485324,6.221538685,3.705118238,2.90173498,,2.7707055,2.301480335,4.044326402,6.538654006,3.85671331,10.44559804,2.867186919,1.433518796,0.941111938,,,3.252742831,1.52739562,1.803047276,2.59372694,4.436292559,2.8262,2.409654711,,
"Bahamas, The",BHS,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3597,1.5805,1.4838,,,,,,
Belize,BLZ,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.337371855,8.326817826,4.273107292,1.748543455,3.458884852,3.216803622,5.807222409,5.928724951,5.33380745,2.278358171,6.808690837,1.519872762,1.967852579,3.006134969,1.478007843,0.827567568,8.119752283,1.439611003,2.053735584,0.7672,,,
Bolivia,BOL,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.58758316,34.62079974,31.06201858,30.04721094,34.41305492,36.00993016,39.34921132,47.12224789,96.26614083,52.93460745,58.75725396,67.12443249,67.7535516,72.48512387,76.33318963,85.61642533,73.5614432,67.01921,83.89786713,87.4818,,,
Barbados,BRB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.345977363,1.106581246,0.632602417,0.804450597,2.041409692,1.815237042,0.500486243,2.818585082,0.560605236,,,,,,,,,1.536667353,2.565506008,,,,,,,0.316666573,0.4058,0.225145032,,
Brunei Darussalam,BRN,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30795326,9.535187887,8.682014739,9.19780166,9.15105807,3.489610069,,,,,,,,,,,,,,,,,,,,4.4813,,,
Central African Republic,CAF,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,3.83289013,5.65361216,7.565525635,9.504952034,,7.95208334,10.93387446,10.26152448,13.31304676,16.97399622,22.99169188,15.39305132,16.44844453,14.85247775,14.41810916,16.53135419,22.39378613,27.12135144,27.30294988,30.11848373,33.44438349,32.96903297,27.11307881,81.53262602,72.48095795,50.46393085,55.65054443,59.99858992,62.8875624,72.74280797,79.80592441,145.3999989,79.46112346,64.71017267,77.05972815,65.44473352,62.61556432,64.14989233,68.80066848,57.55299266,54.08347035,70.88358316,59.4648,38.255,,
Central Europe and the Baltics,CEB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12717441,47.92550792,49.628251,38.4400281,33.34909986,58.8160201,35.87788117,19.19084869,29.10944855,32.59589588,41.90458661,38.56969629,41.17308093,53.98050488,34.0697446,35.67054537,45.28674572,34.04919327,35.48396753,31.08400724,34.4212413,32.19991255,30.64399234,29.37431485,26.01484959,35.79467997,,
Switzerland,CHE,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,192.2273576,206.4124709,120.5740151,112.7591997,159.5090701,185.2690346,195.3518853,,287.5799349,325.7376919,255.1524773,101.4760645,329.0289588,276.8764436,242.0671122,254.0833363,38.75600954,37.29292189,69.08442187,89.71745357,80.15960331,103.7275771,93.90793472,99.83879405,68.59768284,80.03096744,111.233152,80.10260678,61.70678099,5.289339294,6.034785471,6.702283803,98.79231796,160.4807743,72.37991287,71.20540067,75.9882314,47.99487521,45.40695185,49.09053027,62.87135789,60.69995467,55.39497875,65.11045737,52.6426,65.33277803,,
Channel Islands,CHI,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.71377749,13.50948722,13.16890553,17.67604574,3.725533319,6.793271839,0.511780251,0.052711963,,,,,,,,,,,,,,,,
Chile,CHL,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.286213857,5.955829469,5.891389009,7.785852681,15.20135279,1.634695693,10.30949871,8.288736184,9.559104596,9.542361794,7.229870793,5.342083609,8.740353034,11.18807071,14.98284715,15.9456281,21.21205731,21.90486068,16.05063338,16.94719421,18.96733305,14.83821908,15.54854896,11.63189579,10.33588825,11.26748731,12.88580477,17.37453715,18.6098607,21.52681379,,
China,CHN,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6370171,114.2445352,97.63954289,101.1817366,140.7822271,219.5352304,219.1559618,205.0166274,195.5971037,135.9666722,194.8772193,199.1579244,480.287296,249.9072891,197.7132556,206.6543987,214.2880017,258.5512704,,
Cote d'Ivoire,CIV,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.564851038,58.88376856,22.56361018,30.5524239,,1.042049034,5.831052558,7.560791144,0.873779503,1.330331404,1.473235118,2.408938569,1.498878842,2.576012091,1.979008256,4.117785657,3.928593005,3.171363431,1.854125581,,3.108339644,3.407056975,4.177129167,5.27361436,,,1.8616,,,
Cameroon,CMR,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90805316,27.78644062,16.91670766,20.55953176,14.12584066,10.88584201,12.8896752,12.2864499,10.06900822,11.73186154,13.4796921,13.01270917,11.32965251,13.15611794,10.5308,9.406086806,,
Comoros,COM,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.081232493,,2.551632461,1.726274901,2.097289937,2.47345772,9.024627981,,,,22.07535207,2.411602387,1.450100646,3.289162203,3.285788929,2.858297513,2.13417956,2.861750131,2.457922345,,,4.7683,2.2036,1.2325,1.839,1.9255,1.6505,1.592611293,,
